productId,productDisplayName,publisherDisplayName
a517a7bd-343e-0183-93ed-369eb56330da,Endnote 20,Clarivate
f1d9a1ca-407a-1420-97ba-369eb56e2932,Endnote X8,Clarivate
80642643-8e11-df6d-93fe-369eb5690148,Endnote X9,Clarivate
5829e0be-8281-43ca-5bed-36c855a25dea,Enpass,Enpass Technologies Inc.
4e2003e8-7bf1-5dab-5e80-35e155d04eec,EnterpriseDB Corporation PostgreSQL 12,EnterpriseDB Corporation
03cf6502-3f5c-fbeb-57cb-36b388800f06,ESET Endpoint Antivirus V10,ESET
cb9601e7-c2e8-7c1d-bb6a-3744ea8f7511,ESET Endpoint Antivirus V12,ESET
22e84fe3-a1ba-0318-4997-36705b0572c2,ESET Endpoint Antivirus V9,ESET
94da4891-47e9-6307-bb4b-3744ea699c17,ESET Endpoint Security V12,ESET
0096fd6a-a9d6-43b6-495a-36705a503618,ESET Endpoint Security V9,ESET
f7c9e7d8-3736-e2e7-033c-35e15574ee3a,Evernote,Evernote
c54e2c5d-df3f-490e-30c8-36d83730efe7,exacqVision Client,Exacq Technologies
57309a98-9b52-cb01-14ad-35e15587e42e,EZB Systems UltraISO,EZB Systems
b1047624-13bb-44e4-a211-371ff6b298dd,FactSet Workstation,FactSet Research Systems Inc.
737d74a2-f779-3969-0349-35e15574f5fb,FastPictureViewer Professional,Axel Rietschin Software Developments
0ad28065-9c63-e258-0b00-35e1557c8b52,FastStone Soft Capture,FastStone Soft
50a3454f-f25e-954e-0aea-35e1557c537a,FastStone Soft Image Viewer,FastStone Soft
7439a460-f087-8553-0af5-35e1557c82fa,FastStone Soft Photo Resizer,FastStone Soft
97695703-9075-5d12-036c-35e155751166,FileZilla,FileZilla
c95cc69e-30e3-8b86-cbca-3614cedc5533,Filius,Stefan Freischlad
c07183fa-a48a-2859-155c-35e15589d01e,FlashFXP,OpenSight Software LLC
a2799204-48ce-9678-3c7b-37191860e18f,FlexWhere for Desktop,Dutchview
66d8a94a-d9eb-ac95-1344-35e15586b33a,Forté Agent,Forté
f41553af-7201-17b2-a2cc-3720503db3a0,Fortify,PeculiarVentures
354e0bed-e976-a4a4-13ac-35e15587406b,Foxit PDF Editor 11,Foxit Software
89858ac5-f14d-a957-6582-36963d8a8152,Foxit PDF Editor 12,Foxit Software
a879b32e-bd4a-002b-4710-36ece52c2cbc,Foxit PDF Editor 13,Foxit Software
27bf8e22-acd5-6198-63b7-370f6d31d6e8,Foxit PDF Editor 2024,Foxit Software
056ec26c-966d-ef80-0c5d-35e1557e06d9,Foxit PDF Editor Pro 11,Foxit Software
6c567de9-c111-03a1-47c1-36ece5f4cc60,Foxit PDF Editor Pro 13,Foxit Software
1294e47a-7bab-a841-0395-35e155752e8c,Foxit PDF Reader,Foxit Software
